program,result,commits,cycles,ipc,hit_cap
alu,PASS,97,219,0.442922,0
branch,PASS,8200,19583,0.418731,0
branchtaken,PASS,30,104,0.288462,0
cp1_example,PASS,3,23,0.130435,0
cp2_example,PASS,3,22,0.136364,0
custom_riscv,PASS,12906,20839,0.61932,0
dependency_test,PASS,20,53,0.377358,0
jump,PASS,8,40,0.2,0
load,PASS,152,293,0.518771,0
load_store_grinder,PASS,30,60,0.5,0
ooo_test,PASS,16,49,0.326531,0
riscv_mem,PASS,8950,10921,0.819522,0
simple_mem,PASS,12,40,0.3,0
simple_st,PASS,12,39,0.307692,0
store,PASS,53,154,0.344156,0
super_simple,PASS,3,19,0.157895,0
c_smoke,PASS,15,66,0.227273,0
coremark,PASS,405279,748778,0.541254,0
ilp_loop,PASS,40969,49237,0.832078,0
matmul8,PASS,7780,11021,0.705925,0
mem_stream,PASS,98568,132215,0.745513,0
mix_bench,PASS,47269,86549,0.546153,0
stack_smoke,PASS,8,35,0.228571,0
